index|company_name|company_address|company_ph|company_primary_domain|company_revenue|operating_income|net_income|net_income_trend|total_assets|retained_earnings|employees_list
0|VIRGIN MEDIA LIMITED||||||||||
1|BURBERRY LIMITED||||||||||
2|DELOITTE LLP||||||||||
3|THE ROYAL BANK OF SCOTLAND PUBLIC LIMITED COMPANY||||||||||
4|VODAFONE GROUP PUBLIC LIMITED COMPANY||||||||||
5|EDF ENERGY CUSTOMERS LIMITED||||||||||
6|SAGE (UK) LTD||||||||||
7|CLIFFORD CHANCE LLP||||||||||
8|DS SMITH PACKAGING LIMITED||||||||||
9|KPMG LLP||||||||||
10|CAPITA BUSINESS SERVICES LTD||||||||||
11|BARCLAYS INVESTMENT SOLUTIONS LIMITED||||||||||
12|ACCENTURE (UK) LIMITED||||||||||
13|THE ROYAL BANK OF SCOTLAND INTERNATIONAL LTD||||||||||
14|BARCLAYS BANK UK PLC||||||||||
15|MARKS AND SPENCER GROUP P.L.C.||||||||||
16|TESCO STORES LIMITED||||||||||
17|BNP PARIBAS LEASING SOLUTIONS LIMITED||||||||||
18|BRITISH AMERICAN TOBACCO P.L.C.||||||||||
19|HISCOX INSURANCE COMPANY LIMITED||||||||||
20|ASDA GROUP LIMITED||||||||||
21|THOMSON REUTERS GROUP LIMITED||||||||||
22|VIRGIN MEDIA STORE||||||||||
23|LONDON STOCK EXCHANGE GROUP HOLDINGS LIMITED||||||||||
24|WORLDPAY (UK) LIMITED||||||||||
25|UNILEVER UK LIMITED||||||||||
26|DEUTSCHE BANK AKTIENGESELLSCHAFT||||||||||
27|TOWERS WATSON SOFTWARE LIMITED||||||||||
28|VIRGIN MEDIA BUSINESS LIMITED||||||||||
