index,account,company_name,company_address,company_ph,company_primary_domain,company_revenue,operating_income,net_income,net_income_trend,total_assets,retained_earnings,employees_list
0,CLIFFORD CHANCE LLP,Clifford Chance LLP,,,,,,,,,,
1,HSBC BANK PLC,HSBC Bank plc,,,,,,,,,,
2,THE ROYAL BANK OF SCOTLAND INTERNATIONAL LTD,The Royal Bank of Scotland plc,,,,,,,,,,
3,EDF ENERGY CUSTOMERS LIMITED,EDF Energy Ltd,,,,,,,,,,
4,INVESTEC BANK PLC,Investec,,,,,,,,,,
5,KPMG LLP,KPMG International Limited,,,,,,,,,,
6,DELOITTE LLP,Deloitte Touche Tohmatsu Limited,,,,,,,,,,
7,VIRGIN MEDIA LIMITED,Virgin Media Limited,,,,,,,,,,
8,ROLLS-ROYCE PLC,,,,,,,,,,,
9,Nationwide Building Society,Nationwide Building Society,,,,,,,,,,
10,ASDA GROUP LIMITED,Asda Mobile,,,,,,,,,,
11,RSA INSURANCE GROUP PLC,RSA Insurance Group Limited,,,,,,,,,,
12,BNP PARIBAS LEASING SOLUTIONS LIMITED,BNP Paribas S.A.,,,,,,,,,,
13,WORLDPAY (UK) LIMITED,Worldpay,,,,,,,,,,
14,TOWERS WATSON SOFTWARE LIMITED,Towers Watson & Co.,,,,,,,,,,
