HISCOX INSURANCE COMPANY LIMITED|Hiscox Limited||London Stock Exchange|HSX|Insurance||1901|Hamilton|Robert Hiscox|| | | ||||['http://hiscoxgroup.com']
AVIVA PLC|Aviva plc|Public limited company|London Stock Exchange|AV.|Financial services|CGU plc|2000|London|George Culmer (Chairman)|Life insurance| | £2.613 billion (2020)| £2.910 billion (2020)| £479.857 billion (2020)| £20.560 billion (2020)|31,000 (2021)|['https://www.aviva.com']
CLIFFORD CHANCE LLP|Clifford Chance LLP|||||||10 Upper Bank Street|||£||||||['http://www.cliffordchance.com']
BURBERRY LIMITED|Burberry Group PLC|Public limited company|London Stock Exchange|BRBY|Fashion||1856|Horseferry Road|Gerry Murphy|| | £189 million (2020)| £122 million (2020)|||9,892 (2020)|['http://www.burberry.com']
HSBC BANK PLC|HSBC Bank plc|Subsidiary|||Finance and insurance||1836; 184 years ago in |London|Stephen O’Connor|||||||85,000 (including its |['http://hsbc.co.uk/']
ORACLE CORPORATION UK LIMITED|Oracle Corporation|Public|New York Stock Exchange|ORCL|Enterprise software||June 16, 1977|Austin, Texas|Larry Ellison|Business software| | | | | |135,000 (2020)|['https://www.oracle.com/']
THE ROYAL BANK OF SCOTLAND INTERNATIONAL LTD|The Royal Bank of Scotland plc|Subsidiary|||Finance and insurance||1727|Edinburgh||||||||71,200|['https://www.rbs.co.uk']
VODAFONE GROUP PUBLIC LIMITED COMPANY|Vodafone Group plc|Public limited company|London Stock Exchange|VOD|Telecommunications||16 September 1991|Newbury, Berkshire|Jean-François van Boxmeer|| | €4.099 billion (2020)| –€455 million (2020)| €168.168 billion (2020)| €62.625 billion (2020)|93,000 (2020)|['https://www.vodafone.com/', 'https://www.wikidata.org/wiki/Q122141#P856']
EDF ENERGY CUSTOMERS LIMITED|EDF Energy Ltd|Subsidiary|||Energy|British Energy|2002|London|Simone Rossi||£8,030 million|||||13,331|['https://www.edfenergy.com']
INVESTEC BANK PLC|Investec|Dual-listed public company|JSE Limited|INL|Financial services||Johannesburg|London|Peregrine Crosthwaite, Chairman || | | |||8,700 (2021)|['http://www.investec.com']
KPMG LLP|KPMG International Limited|United Kingdom Limited Company|||Professional services||1987|Amstelveen|Bill Thomas (Global Chairman)|Actuarial| |||||227,000 (2020)|['https://home.kpmg/']
DELOITTE LLP|Deloitte Touche Tohmatsu Limited|UK |||Professional services||1845|London|Sharon Thorne|Audit| US$47.6 billion (2020)|||||330,000 (2020)|['https://www.deloitte.com']
SAGE (UK) LTD|The Sage Group plc|Public limited company|London Stock Exchange|SGE|Software||27 April 1981|Newcastle upon Tyne|Sir Donald Brydon|| £ 1,903 million | £ 411 million | £ 310 million | £ 3,715 million | £ 1,652 million |12,000 (2021)|['https://www.sage.com/']
BAE SYSTEMS PLC|BAE Systems plc|Public limited company|London Stock Exchange|BA.|Aerospace||30 November 1999|London|Sir Roger Carr|Maintenance, consultancy, training etc.| | £1.93 billion (2020)| £1.37 billion (2020)| £27.53 billion (2020)| £4.92 billion (2020)|85,800 (2021)|['http://baesystems.com']
J SAINSBURY PLC|J Sainsbury plc|Public limited company|London Stock Exchange|SBRY|Retailing||1869|London|Lord Sainsbury|| | £986 million (2020)| £152 million (2020)|||111,900 (2020)|['http://www.about.sainsburys.co.uk', 'http://www.sainsburys.co.uk']
